Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type
5636,SINOPEC N2105,Debt Securities,,"2,000",,USG8200TAB64,03/05/2021,,,,,,,,,"USD 200,000",Professional
5637,SINOPEC N2605,Debt Securities,,"2,000",,USG8200TAD21,03/05/2026,,,,,,,,,"USD 200,000",Professional
5638,SINOPEC N4605,Debt Securities,,"2,000",,USG8200TAE04,03/05/2046,,,,,,,,,"USD 200,000",Professional
5639,CERCGH B2104,Debt Securities,,"2,000",,XS1376566714,14/04/2021,,,,,,,,,"USD 200,000",Professional
5640,HKE FIN N2605,Debt Securities,,"2,000",,XS1401202517,03/05/2026,,,,,,,,,"USD 200,000",Professional
5641,PROVENHNR B2605,Debt Securities,,"2,000",,XS1401816761,06/05/2026,,,,,,,,,"USD 200,000",Professional
5642,CD ECI B2208,Debt Securities,,"2,000",,XS2032312535,15/08/2022,,,,,,,,,"USD 200,000",Professional
5643,DX VOYAGE B2408,Debt Securities,,"2,000",,XS2037338873,15/08/2024,,,,,,,,,"USD 200,000",Professional
5644,RAILTRNST B2105,Debt Securities,,"2,000",,XS1403567602,13/05/2021,,,,,,,,,"USD 200,000",Professional
5645,DFZQ B2208A,Debt Securities,,"2,000",,XS2038551334,20/08/2022,,,,,,,,,"USD 200,000",Professional
5646,DFZQ B2208B,Debt Securities,,"1,000",,XS2038563180,20/08/2022,,,,,,,,,"EUR 100,000",Professional
5647,ICBCIL FN N2105,Debt Securities,,"2,000",,USY3R559AK81,19/05/2021,,,,,,,,,"USD 200,000",Professional
5648,ICBCIL FN N2605,Debt Securities,,"2,000",,USY3R559AL64,19/05/2026,,,,,,,,,"USD 200,000",Professional
